{'transaction_id': '3b2c26c0-a727-4ad4-a805-7888941ab4fa', 'amount': 46116.87, 'timestamp': '2025-05-27T15:31:12.136472', 'location': 'CHI', 'card_id': '1f9057f4-008f-483b-84bd-f17af1ab23de', 'merchant_id': '7938', 'risk': 50, 'fraud': True}
{'transaction_id': 'e5f8c9db-73d1-444b-8dc2-a422f5060bee', 'amount': 32568.89, 'timestamp': '2025-05-26T22:53:47.137351', 'location': 'CHI', 'card_id': 'dc64d851-b6cd-4162-ade9-954636494a89', 'merchant_id': '5005', 'risk': 50, 'fraud': True}
{'transaction_id': 'e4bdeb78-9865-4e7b-b98b-2f83b763d5a6', 'amount': 29168.94, 'timestamp': '2025-05-27T11:23:40.137365', 'location': 'BOS', 'card_id': '8416f646-df92-4497-addf-2925a7d8a689', 'merchant_id': '8832', 'risk': 50, 'fraud': True}
{'transaction_id': '8b297ba5-4ae8-4fcd-a48b-896f8580d92d', 'amount': 31694.68, 'timestamp': '2025-05-27T14:33:22.137372', 'location': 'SF', 'card_id': '15770763-3081-45ce-b700-8a845e852f70', 'merchant_id': '8264', 'risk': 50, 'fraud': True}
{'transaction_id': '01d63b97-699c-456c-b6a8-ad343f702198', 'amount': 37192.95, 'timestamp': '2025-05-27T08:23:13.137406', 'location': 'LA', 'card_id': 'fefb4893-a992-4f03-917e-7e546e7ce72c', 'merchant_id': '5760', 'risk': 50, 'fraud': True}
{'transaction_id': 'e6f69a89-cdfd-4cac-84d4-8a1d905b7909', 'amount': 24619.59, 'timestamp': '2025-05-27T01:20:03.137413', 'location': 'SEA', 'card_id': '4345013f-bba4-45b3-acf1-b86eb408a671', 'merchant_id': '2384', 'risk': 50, 'fraud': True}
{'transaction_id': 'bb18971a-86c9-42ca-a4ce-a348e5c5f280', 'amount': 28876.76, 'timestamp': '2025-05-27T06:53:16.137427', 'location': 'CHI', 'card_id': '516be436-7cd9-4f6f-a785-902636ea2914', 'merchant_id': '4750', 'risk': 50, 'fraud': True}
{'transaction_id': 'abf200d7-2fbc-4649-8fcb-5cc795e7fddc', 'amount': 21876.85, 'timestamp': '2025-05-27T13:43:36.137435', 'location': 'NY', 'card_id': '3edb047a-c765-4ab1-a0a3-19e9f4051c75', 'merchant_id': '6227', 'risk': 50, 'fraud': True}
{'transaction_id': 'fa884abd-57e1-44bb-a684-bd52bda5a5ab', 'amount': 33947.73, 'timestamp': '2025-05-26T21:41:59.137442', 'location': 'BOS', 'card_id': '44f7186a-34b4-4d13-8cae-9dd0fda31146', 'merchant_id': '9609', 'risk': 70, 'fraud': True}
{'transaction_id': '36e05324-5b9e-4ac9-b393-6437cd798878', 'amount': 24339.61, 'timestamp': '2025-05-27T08:29:14.137449', 'location': 'SF', 'card_id': '5a32a189-c6e5-4fc1-9d53-413088c38a58', 'merchant_id': '7117', 'risk': 50, 'fraud': True}
{'transaction_id': '00b21ed7-f952-43ba-81ec-e0e9c186b109', 'amount': 31791.9, 'timestamp': '2025-05-26T20:39:12.137464', 'location': 'LA', 'card_id': '169d62d8-efe9-4ee1-8076-f806f1ae8c9b', 'merchant_id': '7757', 'risk': 50, 'fraud': True}
{'transaction_id': '8b0822a4-1644-461f-8bd5-36a829e1fd13', 'amount': 34702.41, 'timestamp': '2025-05-27T02:49:12.137472', 'location': 'SEA', 'card_id': 'fc18cc81-2fdd-4743-9f58-a00599ed0bce', 'merchant_id': '7060', 'risk': 50, 'fraud': True}
{'transaction_id': '4a927251-1d4e-4343-93cb-6fbb273cc0a7', 'amount': 22919.0, 'timestamp': '2025-05-26T19:40:50.137479', 'location': 'BOS', 'card_id': 'aa8028aa-2f4c-498c-add5-d44426e1994f', 'merchant_id': '6852', 'risk': 50, 'fraud': True}
{'transaction_id': 'e3f0468d-6d5d-4462-8254-ef7684de5608', 'amount': 42521.41, 'timestamp': '2025-05-27T12:37:47.137501', 'location': 'BOS', 'card_id': '0a37cd61-01fa-43e3-81f6-a72e2d3d23e1', 'merchant_id': '6099', 'risk': 70, 'fraud': True}
{'transaction_id': 'e62c53d4-0044-4b45-9aad-b72298960f32', 'amount': 32287.69, 'timestamp': '2025-05-27T18:41:29.137508', 'location': 'DAL', 'card_id': '0a33efc9-59f9-473d-83ef-bfc69d437618', 'merchant_id': '7086', 'risk': 50, 'fraud': True}
{'transaction_id': 'b9e3621a-448c-4548-8b58-6846bcfae5d6', 'amount': 47509.07, 'timestamp': '2025-05-27T04:51:35.137515', 'location': 'BOS', 'card_id': 'd1780dce-0f49-4a91-a5fa-93021ba36cad', 'merchant_id': '5863', 'risk': 50, 'fraud': True}
{'transaction_id': 'c5d2c7c3-9eb6-4c52-b5cc-117208a65a1d', 'amount': 31316.54, 'timestamp': '2025-05-27T13:20:24.137522', 'location': 'ATL', 'card_id': '6a76f07d-21a7-461a-8cd0-953efb86525b', 'merchant_id': '7852', 'risk': 50, 'fraud': True}
{'transaction_id': 'c0854b10-0ef0-4e11-b444-6ce176602441', 'amount': 40290.59, 'timestamp': '2025-05-27T00:14:27.137530', 'location': 'SEA', 'card_id': 'edbe6127-f63a-4466-b464-bd6df8e47218', 'merchant_id': '5794', 'risk': 50, 'fraud': True}
{'transaction_id': '60034d30-5dcd-40c9-85e7-fe859110d12f', 'amount': 34476.98, 'timestamp': '2025-05-27T00:22:32.137537', 'location': 'BOS', 'card_id': '7ac643ed-5a26-4008-9195-d77b222a29f5', 'merchant_id': '7309', 'risk': 70, 'fraud': True}
{'transaction_id': '8ec304fc-8cff-4cd1-890e-c4b8b804ba3d', 'amount': 49344.89, 'timestamp': '2025-05-26T21:31:05.137545', 'location': 'LA', 'card_id': '908c8fde-c245-4b87-a15a-dec6d677dc08', 'merchant_id': '8490', 'risk': 50, 'fraud': True}
{'transaction_id': 'e21a112e-9fac-40a5-8f4c-2a3323e27705', 'amount': 26896.72, 'timestamp': '2025-05-27T13:43:35.137552', 'location': 'SF', 'card_id': '1c07c96d-ca96-468e-afa5-86886fb9e820', 'merchant_id': '3274', 'risk': 50, 'fraud': True}
{'transaction_id': '249f0feb-6166-4c25-9569-87c90a0562d6', 'amount': 39651.38, 'timestamp': '2025-05-27T04:49:53.137596', 'location': 'BOS', 'card_id': '03b650a4-7df1-40be-93c7-0a6f469f5f1b', 'merchant_id': '1016', 'risk': 50, 'fraud': True}
{'transaction_id': '28253dfb-d848-4013-bbf3-f55ff51048c3', 'amount': 49824.4, 'timestamp': '2025-05-27T00:28:51.137604', 'location': 'LA', 'card_id': '51c17b2c-6d27-4e8a-a898-00542047d90b', 'merchant_id': '8010', 'risk': 50, 'fraud': True}
{'transaction_id': '088d7835-05e9-4c45-ac21-5100aaa121e6', 'amount': 28759.09, 'timestamp': '2025-05-27T15:08:25.137627', 'location': 'ATL', 'card_id': 'edeef00c-d16d-44f4-93e3-4dc252713de2', 'merchant_id': '2863', 'risk': 50, 'fraud': True}
{'transaction_id': '5d8bc065-64d8-4fef-a0f3-ac59fb5b51d3', 'amount': 44756.78, 'timestamp': '2025-05-27T09:06:51.137634', 'location': 'ATL', 'card_id': 'dc5e8eca-4055-4468-80c8-14a4dde855cc', 'merchant_id': '6285', 'risk': 50, 'fraud': True}
{'transaction_id': '462ffecd-3efc-4390-be9b-34b85381f80e', 'amount': 22023.49, 'timestamp': '2025-05-27T15:00:03.137641', 'location': 'ATL', 'card_id': 'ff5e30ec-c1e4-4789-8a9e-b7784e16c1ce', 'merchant_id': '4641', 'risk': 50, 'fraud': True}
{'transaction_id': 'f9b676b5-a97d-4eae-b828-3d579b10b0dd', 'amount': 43763.67, 'timestamp': '2025-05-27T06:52:53.137649', 'location': 'ATL', 'card_id': '78336b39-64b0-4737-9345-6e0d9c7151c7', 'merchant_id': '2272', 'risk': 50, 'fraud': True}
{'transaction_id': 'ef534b92-2bdd-42f3-8049-4f8d2f9569dc', 'amount': 35781.13, 'timestamp': '2025-05-27T08:55:31.137685', 'location': 'BOS', 'card_id': 'abcc560d-c227-457f-8b2c-68454113b917', 'merchant_id': '7066', 'risk': 50, 'fraud': True}
{'transaction_id': '953a19c9-9fac-4758-a123-a1499f0393d5', 'amount': 46958.23, 'timestamp': '2025-05-27T18:31:32.137692', 'location': 'LA', 'card_id': '19686c9f-bf36-451d-bbbf-f952e2c7995f', 'merchant_id': '9509', 'risk': 70, 'fraud': True}
{'transaction_id': '609585e6-c579-40f0-a7eb-8485fc978756', 'amount': 28984.17, 'timestamp': '2025-05-27T18:42:11.137699', 'location': 'DAL', 'card_id': 'ce29c1d3-19a7-4eaa-bbef-2c125c1455fd', 'merchant_id': '3813', 'risk': 50, 'fraud': True}
{'transaction_id': '9e5a6b4e-47f9-4501-8cd8-54068a6aa92f', 'amount': 33376.12, 'timestamp': '2025-05-27T04:49:00.137707', 'location': 'CHI', 'card_id': 'a9b3589b-1c68-45c7-93eb-a3883e98f0c9', 'merchant_id': '2689', 'risk': 70, 'fraud': True}
{'transaction_id': '60d63592-ef61-4f83-8ede-9aa9f6bbde1b', 'amount': 31953.68, 'timestamp': '2025-05-27T14:24:35.137724', 'location': 'SEA', 'card_id': '6e071e35-d2a9-4c86-bf62-4c09ab56e4ed', 'merchant_id': '2937', 'risk': 50, 'fraud': True}
{'transaction_id': 'ef064492-5eda-4f28-8224-bc1dcea4ef02', 'amount': 38343.67, 'timestamp': '2025-05-27T14:22:42.137767', 'location': 'LA', 'card_id': '8a1ab1d3-31b9-468e-9ee4-9d688402f161', 'merchant_id': '5795', 'risk': 50, 'fraud': True}
{'transaction_id': 'a7fdb631-3093-42d6-8a2a-68d03ca71bae', 'amount': 20662.09, 'timestamp': '2025-05-27T04:28:09.137778', 'location': 'DAL', 'card_id': '674d1967-7b07-4b6e-b7e6-1486750874f0', 'merchant_id': '5242', 'risk': 50, 'fraud': True}
{'transaction_id': '6c50629c-6a73-4f14-aa52-eea805f9a8af', 'amount': 36493.95, 'timestamp': '2025-05-27T17:10:00.137787', 'location': 'BOS', 'card_id': 'ccd9f171-05a8-4ec9-b84a-3d9335189d83', 'merchant_id': '8924', 'risk': 50, 'fraud': True}
{'transaction_id': 'b3e7eb74-d00b-47ab-aa05-bdd916e6695d', 'amount': 29292.78, 'timestamp': '2025-05-27T02:05:23.137795', 'location': 'DAL', 'card_id': '45c5f568-b95c-4244-ba26-01128827be01', 'merchant_id': '5200', 'risk': 50, 'fraud': True}
{'transaction_id': '239e135f-e989-4399-8e14-0457ba83ed3b', 'amount': 34448.34, 'timestamp': '2025-05-26T19:12:18.137803', 'location': 'SF', 'card_id': 'bd1b9a86-a90b-462f-922e-d16c07dae90c', 'merchant_id': '8499', 'risk': 70, 'fraud': True}
{'transaction_id': '3c623922-b422-49d9-872c-8e3d245b71b1', 'amount': 20833.93, 'timestamp': '2025-05-27T17:35:49.137819', 'location': 'SEA', 'card_id': '7778adde-1bf3-4f5b-be58-f5bce48978e1', 'merchant_id': '7129', 'risk': 70, 'fraud': True}
